Length (cm),Age,,,,,,,
,1,2,3,4,5,6,7,8
10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0.99,0.01,0.00,0.00,0.00,0.00,0.00,0.00
17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0.99,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22,0.98,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23,0.97,0.03,0.00,0.00,0.00,0.00,0.00,0.00
24,0.95,0.05,0.00,0.00,0.00,0.00,0.00,0.00
25,0.91,0.09,0.00,0.00,0.00,0.00,0.00,0.00
26,0.88,0.12,0.00,0.00,0.00,0.00,0.00,0.00
27,0.81,0.19,0.00,0.00,0.00,0.00,0.00,0.00
28,0.73,0.27,0.00,0.00,0.00,0.00,0.00,0.00
29,0.58,0.42,0.00,0.00,0.00,0.00,0.00,0.00
30,0.40,0.60,0.01,0.00,0.00,0.00,0.00,0.00
